2025-08-28T20:50:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=48": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:51:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=49": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:52:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=50": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:53:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=51": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:54:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=52": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:55:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=53": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:56:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=54": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:57:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=55": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:58:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=56": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:59:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=57": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:00:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=58": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:01:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=59": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
